network,strategy,gap_ER,gap_BA,gap_CM,explained_by_BA,explained_by_CM
AS Internet,degree-targeted attack,0.25998125585754456,0.119962511715089,0.009934395501405801,0.5385724585436196,0.9617880317231435
AS Internet,random failure,0.082507029053421,0.03550609184629805,0.018514526710403212,0.5696597943999553,0.7756006133923987
WWW Notre Dame,degree-targeted attack,0.3499995394944877,0.1499989254871381,0.030000399104777295,0.5714310775843163,0.9142844612078417
WWW Notre Dame,random failure,0.08150103306736589,0.09250005372564318,0.0994994305081831,-0.1349555980374615,-0.2208364331522077
