fraction_removed,lcc_fraction,lcc_std,network,strategy
0.0,1.0,0.0,AS Internet,random failure
0.009934395501405811,0.9878069353327085,0.001162606136633776,AS Internet,random failure
0.019962511715089035,0.9727272727272727,0.008643725310949788,AS Internet,random failure
0.02999062792877226,0.9602764761012184,0.008932692497188938,AS Internet,random failure
0.03992502343017807,0.9472071227741331,0.008683217936470996,AS Internet,random failure
0.04995313964386129,0.9345407685098406,0.008999473301583861,AS Internet,random failure
0.05998125585754452,0.9216869728209934,0.009807919026533052,AS Internet,random failure
0.06991565135895032,0.9084254920337396,0.010917468991671366,AS Internet,random failure
0.07994376757263355,0.8961105904404875,0.010546873543628968,AS Internet,random failure
0.08997188378631678,0.8810918462980318,0.013797444490929438,AS Internet,random failure
0.1,0.8665745079662605,0.015141449756592585,AS Internet,random failure
0.10993439550140581,0.8536457357075914,0.015557976983925206,AS Internet,random failure
0.11996251171508904,0.8367619493908153,0.01585491456276625,AS Internet,random failure
0.12999062792877225,0.8235754451733832,0.01676881293848464,AS Internet,random failure
0.13992502343017807,0.8108294283036551,0.017494988857384916,AS Internet,random failure
0.14995313964386128,0.7949531396438613,0.02110558450177534,AS Internet,random failure
0.15998125585754452,0.7816401124648548,0.0213061603998208,AS Internet,random failure
0.16991565135895031,0.7630412371134021,0.02362110880590319,AS Internet,random failure
0.17994376757263356,0.7502343017806935,0.023921296880241485,AS Internet,random failure
0.18997188378631677,0.7377694470477976,0.023348290781605885,AS Internet,random failure
0.2,0.7245501405810685,0.023594755194449056,AS Internet,random failure
0.2099343955014058,0.7119728209934395,0.022694449318312694,AS Internet,random failure
0.21996251171508904,0.698622305529522,0.022311106057064423,AS Internet,random failure
0.22999062792877226,0.6830552952202437,0.023911643731164778,AS Internet,random failure
0.23992502343017807,0.668261480787254,0.024131319079673808,AS Internet,random failure
0.2499531396438613,0.6552764761012184,0.024296471644791064,AS Internet,random failure
0.2599812558575445,0.6402764761012183,0.02665612960531012,AS Internet,random failure
0.26991565135895035,0.62883786316776,0.02700446064247684,AS Internet,random failure
0.27994376757263356,0.6164526710402999,0.028245439969175463,AS Internet,random failure
0.2899718837863168,0.6044704779756327,0.02719371724146363,AS Internet,random failure
0.3,0.5927647610121837,0.027273542591750344,AS Internet,random failure
0.30993439550140583,0.57985473289597,0.027382718844378113,AS Internet,random failure
0.31996251171508905,0.5683083411433927,0.026926905262053987,AS Internet,random failure
0.32999062792877226,0.5537253983130273,0.029859329985488476,AS Internet,random failure
0.33992502343017805,0.5387394564198689,0.03615396905706164,AS Internet,random failure
0.34995313964386127,0.52558106841612,0.035541500756903384,AS Internet,random failure
0.35998125585754454,0.514892221180881,0.035011110792247044,AS Internet,random failure
0.3699156513589503,0.5032146204311153,0.035159898958504215,AS Internet,random failure
0.37994376757263354,0.49036082474226805,0.035269099325355206,AS Internet,random failure
0.38997188378631675,0.47693064667291474,0.03378397555847592,AS Internet,random failure
0.4,0.45998125585754457,0.036233628998805556,AS Internet,random failure
0.4099343955014058,0.4427741330834114,0.03884526003859581,AS Internet,random failure
0.419962511715089,0.4321649484536082,0.039457885582422934,AS Internet,random failure
0.42999062792877224,0.4193908153701968,0.03815024864059086,AS Internet,random failure
0.4399250234301781,0.4074320524835989,0.03870624331169401,AS Internet,random failure
0.4499531396438613,0.3953139643861293,0.03876889549701806,AS Internet,random failure
0.4599812558575445,0.3821790065604499,0.038107162549553215,AS Internet,random failure
0.4699156513589503,0.37143392689784444,0.037213932216298796,AS Internet,random failure
0.4799437675726336,0.36138238050609184,0.0358657207153868,AS Internet,random failure
0.4899718837863168,0.35074507966260543,0.03546050405617984,AS Internet,random failure
0.5,0.3332286785379569,0.03286451763992161,AS Internet,random failure
0.5099343955014058,0.3193955014058107,0.03822124773356806,AS Internet,random failure
0.519962511715089,0.308223992502343,0.03765089375847759,AS Internet,random failure
0.5299906279287723,0.2981396438612933,0.036543086939407096,AS Internet,random failure
0.5399250234301781,0.28843017806935334,0.036175050886799176,AS Internet,random failure
0.5499531396438613,0.2795688847235239,0.035249022270174075,AS Internet,random failure
0.5599812558575445,0.26789597000937204,0.03655084348565952,AS Internet,random failure
0.5699156513589503,0.25552014995313965,0.03486001273328357,AS Internet,random failure
0.5799437675726336,0.24533270852858485,0.036379029897968644,AS Internet,random failure
0.5899718837863168,0.23597000937207122,0.03720427861517694,AS Internet,random failure
0.6,0.22361761949390818,0.03633755251307909,AS Internet,random failure
0.6099343955014058,0.21385660731021555,0.03598844875393002,AS Internet,random failure
0.619962511715089,0.20529053420805998,0.03428379026487435,AS Internet,random failure
0.6299906279287723,0.19536082474226804,0.03354609664829575,AS Internet,random failure
0.6399250234301781,0.1834676663542643,0.028654628725126696,AS Internet,random failure
0.6499531396438613,0.17454545454545453,0.028065087767679624,AS Internet,random failure
0.6599812558575445,0.16559981255857545,0.027217632104167066,AS Internet,random failure
0.6699156513589504,0.15738519212746016,0.02620428610128614,AS Internet,random failure
0.6799437675726335,0.14903467666354264,0.025165117628102255,AS Internet,random failure
0.6899718837863168,0.13770384254920337,0.02432166008371268,AS Internet,random failure
0.7,0.12998125585754453,0.024066626437254744,AS Internet,random failure
0.7099343955014058,0.12247891283973758,0.02317294348687312,AS Internet,random failure
0.7199625117150891,0.11558575445173383,0.022050832570847164,AS Internet,random failure
0.7299906279287722,0.10541237113402062,0.0232924254221133,AS Internet,random failure
0.7399250234301781,0.09876757263355201,0.021901416411757604,AS Internet,random failure
0.7499531396438613,0.09031396438612933,0.01976442536727161,AS Internet,random failure
