fraction_removed,lcc_fraction,lcc_std,network,model,strategy
0.0,1.0,0.0,AS Internet,real,random failure
0.009934395501405811,0.9878069353327087,0.0011331682917782226,AS Internet,real,random failure
0.019962511715089035,0.9727272727272729,0.008424861297884742,AS Internet,real,random failure
0.02999062792877226,0.9602764761012184,0.008706511671551877,AS Internet,real,random failure
0.03992502343017807,0.9472071227741331,0.008463353947793947,AS Internet,real,random failure
0.04995313964386129,0.9345407685098406,0.008771601548213668,AS Internet,real,random failure
0.05998125585754452,0.9216869728209934,0.009559576970215679,AS Internet,real,random failure
0.06991565135895032,0.9084254920337393,0.010641032502765003,AS Internet,real,random failure
0.07994376757263355,0.8961105904404875,0.010279820741045834,AS Internet,real,random failure
0.08997188378631678,0.8810918462980318,0.013448085393700675,AS Internet,real,random failure
0.1,0.8665745079662607,0.014758059685976568,AS Internet,real,random failure
0.10993439550140581,0.8536457357075914,0.015164040208359028,AS Internet,real,random failure
0.11996251171508904,0.8367619493908153,0.015453459159779937,AS Internet,real,random failure
0.12999062792877225,0.8235754451733832,0.016344217111798162,AS Internet,real,random failure
0.13992502343017807,0.8108294283036553,0.017052005845765484,AS Internet,real,random failure
0.14995313964386128,0.7949531396438612,0.02057117916657917,AS Internet,real,random failure
0.15998125585754452,0.7816401124648545,0.020766676369456605,AS Internet,real,random failure
0.16991565135895031,0.763041237113402,0.02302300897274942,AS Internet,real,random failure
0.17994376757263356,0.7502343017806935,0.023315596115283405,AS Internet,real,random failure
0.18997188378631677,0.7377694470477975,0.02275709885511115,AS Internet,real,random failure
0.2,0.7245501405810686,0.022997322649640793,AS Internet,real,random failure
0.2099343955014058,0.7119728209934395,0.02211981302742838,AS Internet,real,random failure
0.21996251171508904,0.698622305529522,0.02174617623434286,AS Internet,real,random failure
0.22999062792877226,0.6830552952202436,0.02330618738940035,AS Internet,real,random failure
0.23992502343017807,0.668261480787254,0.02352030043385453,AS Internet,real,random failure
0.2499531396438613,0.6552764761012184,0.023681271242626086,AS Internet,real,random failure
0.2599812558575445,0.6402764761012184,0.025981181329153148,AS Internet,real,random failure
0.26991565135895035,0.62883786316776,0.02632069242747095,AS Internet,real,random failure
0.27994376757263356,0.6164526710402999,0.027530249455820038,AS Internet,real,random failure
0.2899718837863168,0.6044704779756327,0.02650515694234317,AS Internet,real,random failure
0.3,0.5927647610121836,0.026582961069617876,AS Internet,real,random failure
0.30993439550140583,0.57985473289597,0.02668937291778785,AS Internet,real,random failure
0.31996251171508905,0.5683083411433926,0.02624510079313945,AS Internet,real,random failure
0.32999062792877226,0.5537253983130273,0.029103274864234373,AS Internet,real,random failure
0.33992502343017805,0.5387394564198688,0.03523853011477668,AS Internet,real,random failure
0.34995313964386127,0.52558106841612,0.03464156985834094,AS Internet,real,random failure
0.35998125585754454,0.514892221180881,0.03412460966753535,AS Internet,real,random failure
0.3699156513589503,0.5032146204311153,0.034269630433280344,AS Internet,real,random failure
0.37994376757263354,0.49036082474226816,0.034376065785087784,AS Internet,real,random failure
0.38997188378631675,0.4769306466729148,0.032928546191851725,AS Internet,real,random failure
0.4,0.45998125585754446,0.035316173021746396,AS Internet,real,random failure
0.4099343955014058,0.4427741330834115,0.03786167608668192,AS Internet,real,random failure
0.419962511715089,0.4321649484536083,0.0384587896052879,AS Internet,real,random failure
0.42999062792877224,0.4193908153701968,0.03718426277031669,AS Internet,real,random failure
0.4399250234301781,0.4074320524835988,0.03772617934192189,AS Internet,real,random failure
0.4499531396438613,0.3953139643861293,0.037787245138482535,AS Internet,real,random failure
0.4599812558575445,0.3821790065604498,0.037142267643470124,AS Internet,real,random failure
0.4699156513589503,0.37143392689784444,0.03627165440739252,AS Internet,real,random failure
0.4799437675726336,0.36138238050609184,0.03495758038412298,AS Internet,real,random failure
0.4899718837863168,0.3507450796626055,0.034562624039884894,AS Internet,real,random failure
0.5,0.3332286785379569,0.03203236946776624,AS Internet,real,random failure
0.5099343955014058,0.31939550140581063,0.03725346412610835,AS Internet,real,random failure
0.519962511715089,0.308223992502343,0.03669755183621324,AS Internet,real,random failure
0.5299906279287723,0.2981396438612934,0.035617795312287544,AS Internet,real,random failure
0.5399250234301781,0.2884301780693533,0.03525907814066308,AS Internet,real,random failure
0.5499531396438613,0.2795688847235239,0.0343564970922978,AS Internet,real,random failure
0.5599812558575445,0.26789597000937204,0.03562535545840238,AS Internet,real,random failure
0.5699156513589503,0.25552014995313965,0.03397733749687368,AS Internet,real,random failure
0.5799437675726336,0.2453327085285848,0.03545789228791571,AS Internet,real,random failure
0.5899718837863168,0.23597000937207122,0.036262245240910373,AS Internet,real,random failure
0.6,0.22361761949390813,0.035417465133867794,AS Internet,real,random failure
0.6099343955014058,0.21385660731021558,0.035077200879325234,AS Internet,real,random failure
0.619962511715089,0.20529053420805998,0.03341570530722939,AS Internet,real,random failure
0.6299906279287723,0.19536082474226807,0.03269669051020239,AS Internet,real,random failure
0.6399250234301781,0.1834676663542643,0.02792907732106654,AS Internet,real,random failure
0.6499531396438613,0.17454545454545453,0.0273544638740587,AS Internet,real,random failure
0.6599812558575445,0.16559981255857545,0.02652846626719865,AS Internet,real,random failure
0.6699156513589504,0.15738519212746022,0.025540778758177184,AS Internet,real,random failure
0.6799437675726335,0.14903467666354261,0.024527922618403947,AS Internet,real,random failure
0.6899718837863168,0.13770384254920337,0.02370582189602967,AS Internet,real,random failure
0.7,0.12998125585754453,0.023457245845726445,AS Internet,real,random failure
0.7099343955014058,0.1224789128397376,0.022586191453043265,AS Internet,real,random failure
